               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13177,           0.0097475,             0.08091,           0.0027304,            0.055556,           0.0015792,           0.0002352,             0.13465,           0.0069922,            0.085367,               3e-05,               3e-05,             0.09973
                   1,             0.13076,            0.010135,            0.078656,           0.0060796,             0.12963,           0.0035374,          0.00082332,             0.13174,           0.0072264,            0.084049,          6.9999e-05,          6.9999e-05,             0.09937
                   2,             0.12795,           0.0098379,            0.079633,           0.0074585,             0.16667,           0.0036569,           0.0010776,             0.12693,           0.0076477,             0.08205,             0.00011,             0.00011,             0.09901
                   3,             0.12576,            0.010833,            0.077012,            0.017361,            0.037037,           0.0062225,           0.0011734,             0.11971,           0.0083448,            0.079514,          0.00014999,          0.00014999,             0.09865
                   4,             0.12216,            0.010918,            0.076152,            0.020805,            0.037037,           0.0067287,            0.001427,             0.11175,           0.0092528,            0.076633,          0.00018998,          0.00018998,             0.09829
                   5,             0.11774,            0.012914,            0.073204,            0.018342,            0.074074,           0.0093855,           0.0019116,             0.10288,            0.010355,            0.073713,          0.00022995,          0.00022995,             0.09793
                   6,             0.11048,            0.013762,            0.072191,             0.01671,            0.055556,           0.0082795,           0.0018795,            0.096649,            0.011154,            0.071107,          0.00026992,          0.00026992,             0.09757
                   7,             0.11011,            0.013528,            0.070356,            0.020684,            0.074074,            0.012038,           0.0024506,            0.092196,            0.011763,            0.068617,          0.00030988,          0.00030988,             0.09721
                   8,             0.10703,            0.017018,            0.069818,            0.023944,             0.14021,            0.015175,           0.0029309,            0.088416,             0.01226,            0.066509,          0.00034982,          0.00034982,             0.09685
                   9,            0.099328,            0.015132,            0.068502,            0.028537,            0.074074,            0.012847,           0.0026697,            0.085355,             0.01264,            0.064477,          0.00038975,          0.00038975,             0.09649
                  10,            0.099592,            0.017226,            0.065956,            0.033924,             0.12963,            0.015344,           0.0027927,            0.082865,            0.012939,            0.062765,          0.00042966,          0.00042966,             0.09613
                  11,            0.098479,            0.015493,            0.066161,            0.062369,             0.25926,            0.047215,            0.010051,            0.078594,            0.013438,            0.061044,          0.00046955,          0.00046955,             0.09577
                  12,            0.099972,            0.016364,             0.06425,            0.079967,             0.22222,            0.081157,            0.020345,            0.075103,            0.013775,            0.059205,          0.00050942,          0.00050942,            0.095409
                  13,            0.089812,            0.018322,             0.06296,             0.16326,             0.16667,             0.12413,            0.030133,            0.071462,            0.014202,            0.057277,          0.00054927,          0.00054927,            0.095049
                  14,            0.089493,            0.019197,            0.060794,             0.21961,             0.55556,             0.25772,            0.082205,            0.066952,            0.014652,            0.055368,          0.00058909,          0.00058909,            0.094689
                  15,            0.085549,            0.020695,             0.05831,             0.20589,             0.58192,             0.26478,            0.060399,            0.065744,            0.014653,            0.053868,          0.00062888,          0.00062888,            0.094329
                  16,            0.082552,            0.018024,            0.057164,             0.28002,             0.64815,             0.35115,            0.063865,            0.063088,            0.014717,            0.052612,          0.00066865,          0.00066865,            0.093969
                  17,            0.081265,            0.022609,            0.055515,             0.33556,             0.55556,             0.39302,             0.12893,            0.059366,            0.014809,            0.051035,          0.00070838,          0.00070838,            0.093608
                  18,            0.076779,            0.019637,            0.053669,             0.37295,             0.62963,             0.43033,             0.10937,            0.058256,            0.014639,            0.049681,          0.00074808,          0.00074808,            0.093248
                  19,            0.072946,            0.021558,            0.051396,             0.30435,             0.84187,             0.49835,             0.20361,            0.055134,            0.014589,            0.048278,          0.00078775,          0.00078775,            0.092888
                  20,            0.067454,             0.02085,            0.049657,             0.32046,              0.7946,             0.52385,                0.18,            0.053169,            0.014309,            0.046587,          0.00082738,          0.00082738,            0.092527
                  21,            0.068495,            0.018238,            0.050477,             0.29191,             0.85146,             0.50778,             0.18649,            0.050673,             0.01416,            0.044883,          0.00086698,          0.00086698,            0.092167
                  22,            0.064991,            0.019741,            0.047653,             0.19232,             0.62963,             0.20674,            0.034918,            0.061001,            0.013003,            0.043728,          0.00090653,          0.00090653,            0.091807
                  23,            0.067411,            0.019235,            0.047056,             0.29749,             0.27778,             0.27812,            0.049318,             0.05182,            0.013494,            0.041702,          0.00094604,          0.00094604,            0.091446
                  24,            0.061066,            0.020305,             0.04463,             0.53777,              0.8315,             0.66924,             0.29068,            0.044098,            0.013332,            0.040167,          0.00098551,          0.00098551,            0.091086
                  25,            0.062578,            0.022284,            0.044893,             0.44741,             0.67858,              0.5093,             0.12416,            0.046626,            0.012697,            0.038709,           0.0010249,           0.0010249,            0.090725
                  26,            0.062449,            0.020638,            0.043678,             0.21945,             0.66525,             0.36945,            0.097304,            0.053061,            0.011864,            0.037902,           0.0010643,           0.0010643,            0.090364
                  27,            0.060541,            0.020155,            0.040778,             0.46725,             0.68322,             0.53795,             0.19385,             0.04738,            0.011372,            0.037383,           0.0011036,           0.0011036,            0.090004
                  28,             0.05909,            0.018701,            0.039956,             0.15834,              0.7963,             0.22544,             0.10679,            0.058525,            0.010932,            0.035683,           0.0011429,           0.0011429,            0.089643
                  29,            0.061127,            0.017543,            0.040668,             0.48783,             0.68519,             0.60167,               0.176,            0.044711,            0.011031,            0.033951,           0.0011821,           0.0011821,            0.089282
                  30,            0.056102,            0.013894,            0.037661,             0.60356,             0.64815,             0.61481,             0.19134,            0.054434,            0.010098,            0.032777,           0.0012213,           0.0012213,            0.088921
